sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;18:2:55 - 18:3:6;11;211;18:2:55 - 18:3:6;11;212;18:2:55 - 18:3:6;11;213;18:2:55 - 18:3:6;11;213;18:2:55 - 18:3:6;11;213;18:2:55 - 18:3:6;11;213;18:2:55 - 18:3:6;11;213;18:2:55 - 18:3:6;11;216;18:3:6 - 18:3:17;11;204;18:3:6 - 18:3:17;11;208;18:3:6 - 18:3:17;11;208;18:3:6 - 18:3:17;11;208;18:3:6 - 18:3:17;11;208;18:3:6 - 18:3:17;11;208;18:3:6 - 18:3:17;11;208;18:3:6 - 18:3:17;11;208;
grayscaling;6:6:37 - 6:9:1 (92);144;1;6:6:38 - 6:9:6 (150);148;0;6:6:39 - 6:9:7 (115);148;0;6:6:39 - 6:9:6 (158);147;0;6:6:39 - 6:9:4 (106);145;1;6:6:39 - 6:9:6 (151);147;0;6:6:39 - 6:9:4 (161);145;1;6:6:42 - 6:9:11 (94);149;1;6:6:41 - 6:9:7 (173);146;0;6:6:45 - 6:9:12 (27);147;0;6:6:45 - 6:9:13 (101);148;0;6:6:45 - 6:9:12 (123);147;0;6:6:45 - 6:9:11 (82);146;0;6:6:45 - 6:9:13 (23);148;1;6:6:45 - 6:9:13 (120);148;0;6:6:45 - 6:9:12 (112);147;1;
errosion;6:9:2 - 6:9:2 (124);0;;6:9:6 - 6:9:6 (28);0;;6:9:7 - 6:9:7 (168);0;;6:9:6 - 6:9:6 (150);0;;6:9:5 - 6:9:5 (125);0;;6:9:6 - 6:9:7 (161);1;;6:9:5 - 6:9:5 (168);0;;6:9:12 - 6:9:12 (125);0;;6:9:7 - 6:9:8 (104);1;;6:9:12 - 6:9:13 (28);1;;6:9:13 - 6:9:14 (123);1;;6:9:12 - 6:9:12 (82);0;;6:9:11 - 6:9:12 (150);1;;6:9:14 - 6:9:14 (117);0;;6:9:13 - 6:9:14 (119);1;;6:9:13 - 6:9:13 (124);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;18:3:17 - 18:3:52;35;173;18:3:17 - 18:3:52;35;174;18:3:17 - 18:3:52;35;173;18:3:17 - 18:3:52;35;178;18:3:17 - 18:3:52;35;179;18:3:17 - 18:3:52;35;177;18:3:17 - 18:3:52;35;180;18:3:17 - 18:3:52;35;179;18:3:52 - 18:4:27;35;144;18:3:52 - 18:4:27;35;144;18:3:52 - 18:4:27;35;148;18:3:52 - 18:4:27;35;149;18:3:52 - 18:4:27;35;150;18:3:52 - 18:4:27;35;150;18:3:52 - 18:4:27;35;150;18:3:52 - 18:4:27;35;150;
grayscaling;6:6:45 - 6:11:58 (110);313;0;6:6:46 - 6:12:4 (87);318;0;6:6:45 - 6:12:0 (96);315;0;6:6:50 - 6:11:58 (90);308;0;6:6:51 - 6:12:1 (116);310;1;6:6:49 - 6:12:3 (95);314;0;6:6:52 - 6:11:59 (152);307;0;6:6:51 - 6:12:1 (157);310;0;6:6:51 - 6:12:0 (167);309;1;6:6:51 - 6:12:3 (162);312;0;6:6:55 - 6:12:3 (89);308;1;6:6:56 - 6:12:4 (81);308;1;6:6:57 - 6:12:3 (99);306;1;6:6:57 - 6:12:7 (154);310;0;6:6:57 - 6:11:54 (155);297;0;6:6:57 - 6:12:4 (88);307;0;
errosion;6:11:58 - 6:12:0 (90);2;;6:12:4 - 6:12:5 (96);1;;6:12:0 - 6:12:1 (158);1;;6:11:58 - 6:12:0 (27);2;;6:12:2 - 6:12:3 (167);1;;6:12:3 - 6:12:5 (82);2;;6:11:59 - 6:12:1 (82);2;;6:12:1 - 6:12:3 (152);2;;6:12:1 - 6:12:2 (173);1;;6:12:3 - 6:12:4 (151);1;;6:12:4 - 6:12:5 (95);1;;6:12:5 - 6:12:6 (157);1;;6:12:4 - 6:12:5 (162);1;;6:12:7 - 6:12:8 (162);1;;6:11:54 - 6:11:56 (158);2;;6:12:4 - 6:12:5 (116);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;18:4:27 - 18:5:23;56;100;18:4:27 - 18:5:23;56;96;18:4:27 - 18:5:23;56;97;18:4:27 - 18:5:23;56;100;18:4:27 - 18:5:23;56;94;18:4:27 - 18:5:23;56;100;18:4:27 - 18:5:23;56;101;18:4:27 - 18:5:23;56;102;18:5:23 - 18:6:20;57;45;18:5:23 - 18:6:20;57;45;18:5:23 - 18:6:20;57;45;18:5:23 - 18:6:20;57;46;18:5:23 - 18:6:20;57;51;18:5:23 - 18:6:20;57;49;18:5:23 - 18:6:20;57;50;18:5:23 - 18:6:20;57;51;
grayscaling;6:7:3 - 6:13:15 (100);372;1;6:6:59 - 6:13:16 (166);377;2;6:7:0 - 6:13:12 (109);372;1;6:7:3 - 6:13:16 (111);373;1;6:6:57 - 6:13:16 (170);379;2;6:7:3 - 6:13:17 (93);374;2;6:7:4 - 6:13:16 (172);372;1;6:7:5 - 6:13:18 (122);373;2;6:7:5 - 6:13:16 (176);371;1;6:7:5 - 6:13:17 (175);372;3;6:7:5 - 6:13:17 (177);372;1;6:7:6 - 6:13:15 (174);369;1;6:7:11 - 6:13:18 (179);367;2;6:7:9 - 6:13:17 (180);368;2;6:7:10 - 6:13:18 (181);368;2;6:7:11 - 6:13:18 (178);367;3;
errosion;6:13:16 - 6:13:17 (88);1;;6:13:18 - 6:13:18 (93);0;;6:13:13 - 6:13:14 (109);1;;6:13:17 - 6:13:18 (162);1;;6:13:18 - 6:13:18 (152);0;;6:13:19 - 6:13:19 (177);0;;6:13:17 - 6:13:17 (166);0;;6:13:20 - 6:13:20 (170);0;;6:13:17 - 6:13:18 (27);1;;6:13:20 - 6:13:20 (93);0;;6:13:18 - 6:13:19 (111);1;;6:13:16 - 6:13:17 (174);1;;6:13:20 - 6:13:20 (111);0;;6:13:19 - 6:13:19 (178);0;;6:13:20 - 6:13:21 (181);1;;6:13:21 - 6:13:21 (100);0;;


