sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
errosion;4:12:59 - 4:12:59 (82);0;;4:13:2 - 4:13:2 (98);0;;4:13:51 - 4:13:51 (27);0;;4:13:51 - 4:13:51 (81);0;;4:13:51 - 4:13:52 (99);1;;4:13:52 - 4:13:52 (116);0;;4:13:52 - 4:13:52 (103);0;;4:13:52 - 4:13:52 (81);0;;4:13:52 - 4:13:52 (110);0;;4:13:52 - 4:13:52 (126);0;;4:13:52 - 4:13:52 (27);0;;4:13:52 - 4:13:53 (101);1;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;16:12:15 - 16:12:30;15;24;16:12:15 - 16:12:30;15;23;16:12:15 - 16:12:30;15;24;16:12:15 - 16:12:30;15;24;16:12:15 - 16:12:30;15;25;16:12:15 - 16:12:30;15;25;16:12:15 - 16:12:30;15;25;16:12:15 - 16:12:30;15;25;16:12:30 - 16:12:39;9;16;16:12:30 - 16:12:38;8;17;16:12:30 - 16:12:40;10;18;16:12:30 - 16:12:39;9;16;
grayscaling;4:12:54 - 4:13:49 (110);55;3;4:12:53 - 4:13:48 (119);55;3;4:12:54 - 4:13:49 (101);55;2;4:12:54 - 4:13:48 (87);54;4;4:12:55 - 4:13:49 (93);54;4;4:12:55 - 4:13:49 (126);54;2;4:12:55 - 4:13:49 (116);54;3;4:12:55 - 4:13:48 (103);53;4;4:12:55 - 4:13:49 (95);54;4;4:12:55 - 4:13:50 (29);55;2;4:12:58 - 4:13:52 (122);54;1;4:12:55 - 4:13:50 (27);55;2;
errosion;4:13:52 - 4:13:53 (116);1;;4:13:51 - 4:13:51 (87);0;;4:13:51 - 4:13:52 (29);1;;4:13:52 - 4:13:53 (97);1;;4:13:53 - 4:13:53 (87);0;;4:13:51 - 4:13:51 (91);0;;4:13:52 - 4:13:52 (95);0;;4:13:52 - 4:13:53 (95);1;;4:13:53 - 4:13:53 (29);0;;4:13:52 - 4:13:52 (119);0;;4:13:53 - 4:13:53 (119);0;;4:13:52 - 4:13:52 (97);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;16:12:40 - 16:12:54;14;21;16:12:40 - 16:12:54;14;30;16:12:40 - 16:12:54;14;52;16:12:40 - 16:12:54;14;30;16:12:40 - 16:12:54;14;41;16:12:40 - 16:12:54;14;41;16:12:40 - 16:12:54;14;47;16:12:40 - 16:12:54;14;53;16:12:54 - 16:13:5;11;43;16:12:54 - 16:13:4;10;47;16:12:54 - 16:13:5;11;43;16:12:54 - 16:13:4;10;47;
grayscaling;4:13:15 - 4:14:2 (109);47;0;4:13:24 - 4:14:7 (96);43;0;4:13:46 - 4:14:18 (120);32;0;4:13:24 - 4:14:8 (102);44;0;4:13:35 - 4:14:14 (88);39;0;4:13:35 - 4:14:13 (113);38;1;4:13:41 - 4:14:16 (105);35;0;4:13:47 - 4:14:18 (106);31;0;4:13:48 - 4:14:18 (83);30;0;4:13:51 - 4:14:19 (93);28;0;4:13:48 - 4:14:18 (23);30;1;4:13:51 - 4:14:19 (111);28;0;
