sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;3:23:30 - 3:25:23 (89);113;0;3:23:15 - 3:24:42 (124);87;0;3:23:22 - 3:25:4 (90);102;0;3:23:30 - 3:25:22 (101);112;0;3:23:30 - 3:25:22 (102);112;1;3:23:29 - 3:25:22 (111);113;0;3:23:30 - 3:25:23 (108);113;1;3:23:30 - 3:25:22 (121);112;1;
errosion;3:25:23 - 3:25:24 (101);1;;3:24:42 - 3:24:43 (27);1;;3:25:4 - 3:25:5 (97);1;;3:25:22 - 3:25:23 (101);1;;3:25:23 - 3:25:23 (102);0;;3:25:22 - 3:25:23 (90);1;;3:25:24 - 3:25:24 (89);0;;3:25:23 - 3:25:23 (121);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:20:27 - 15:21:38;71;113;15:20:27 - 15:21:38;71;113;15:20:27 - 15:21:38;71;113;15:20:27 - 15:21:38;71;114;15:20:27 - 15:21:38;71;115;15:20:27 - 15:21:38;71;118;15:20:27 - 15:21:38;71;120;15:20:27 - 15:21:38;71;119;
grayscaling;3:23:31 - 3:28:9 (92);278;0;3:23:31 - 3:28:9 (105);278;1;3:23:31 - 3:28:8 (93);277;1;3:23:32 - 3:28:10 (81);278;0;3:23:33 - 3:28:10 (82);277;1;3:23:36 - 3:28:13 (88);277;0;3:23:38 - 3:28:14 (113);276;0;3:23:37 - 3:28:12 (126);275;1;
errosion;3:28:9 - 3:28:11 (102);2;;3:28:10 - 3:28:11 (92);1;;3:28:9 - 3:28:10 (93);1;;3:28:10 - 3:28:12 (93);2;;3:28:11 - 3:28:12 (82);1;;3:28:13 - 3:28:14 (92);1;;3:28:14 - 3:28:15 (126);1;;3:28:13 - 3:28:14 (126);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;15:21:38 - 15:23:30;112;8;15:21:38 - 15:23:30;112;8;15:21:38 - 15:23:30;112;8;15:21:38 - 15:23:30;112;8;15:21:38 - 15:23:30;112;9;15:21:38 - 15:23:30;112;9;15:21:38 - 15:23:30;112;14;15:21:38 - 15:23:30;112;14;
grayscaling;3:23:38 - 3:29:24 (96);346;1;3:23:38 - 3:29:24 (120);346;2;3:23:38 - 3:29:25 (28);347;2;3:23:38 - 3:29:25 (83);347;4;3:23:39 - 3:29:25 (123);346;3;3:23:39 - 3:29:25 (33);346;2;3:23:44 - 3:29:25 (91);341;5;3:23:44 - 3:29:25 (117);341;4;
errosion;3:29:25 - 3:29:25 (83);0;;3:29:26 - 3:29:26 (117);0;;3:29:27 - 3:29:27 (96);0;;3:29:29 - 3:29:29 (117);0;;3:29:28 - 3:29:28 (123);0;;3:29:27 - 3:29:28 (33);1;;3:29:30 - 3:29:30 (126);0;;3:29:29 - 3:29:29 (33);0;;


