sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
errosion;4:34:51 - 4:34:51 (101);0;;4:34:51 - 4:34:51 (122);0;;4:34:52 - 4:34:52 (99);0;;4:36:6 - 4:36:7 (27);1;;4:36:7 - 4:36:7 (109);0;;4:36:1 - 4:36:1 (121);0;;4:36:6 - 4:36:7 (87);1;;4:36:7 - 4:36:7 (27);0;;4:36:7 - 4:36:7 (113);0;;4:36:5 - 4:36:5 (121);0;;4:36:6 - 4:36:7 (113);1;;4:36:7 - 4:36:7 (91);0;;4:36:6 - 4:36:7 (88);1;;4:36:7 - 4:36:7 (88);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:33:45 - 16:34:25;40;48;16:33:45 - 16:34:25;40;36;16:33:45 - 16:34:25;40;36;16:33:45 - 16:34:25;40;46;16:33:45 - 16:34:25;40;55;16:33:45 - 16:34:25;40;58;16:33:45 - 16:34:25;40;63;16:33:45 - 16:34:25;40;59;16:34:25 - 16:35:0;35;36;16:34:25 - 16:35:1;36;33;16:34:25 - 16:35:0;35;36;16:34:25 - 16:35:1;36;48;16:34:25 - 16:35:1;36;47;16:34:25 - 16:35:1;36;65;
grayscaling;4:35:13 - 4:36:23 (124);70;0;4:35:1 - 4:35:39 (96);38;27;4:35:1 - 4:35:38 (121);37;29;4:35:11 - 4:36:16 (23);65;1;4:35:20 - 4:36:41 (102);81;1;4:35:23 - 4:36:46 (89);83;1;4:35:28 - 4:36:52 (118);84;1;4:35:24 - 4:36:48 (125);84;1;4:35:36 - 4:36:57 (112);81;1;4:35:34 - 4:36:56 (111);82;1;4:35:36 - 4:36:58 (100);82;1;4:35:49 - 4:37:2 (104);73;0;4:35:48 - 4:37:1 (29);73;1;4:36:6 - 4:37:5 (121);59;0;
errosion;4:36:23 - 4:36:24 (124);1;;4:36:6 - 4:36:7 (123);1;;4:36:7 - 4:36:8 (113);1;;4:36:17 - 4:36:18 (109);1;;4:36:42 - 4:36:42 (87);0;;4:36:47 - 4:36:48 (87);1;;4:36:53 - 4:36:53 (118);0;;4:36:49 - 4:36:50 (87);1;;4:36:58 - 4:36:58 (111);0;;4:36:57 - 4:36:57 (118);0;;4:36:59 - 4:36:59 (118);0;;4:37:2 - 4:37:2 (112);0;;4:37:2 - 4:37:2 (29);0;;4:37:5 - 4:37:6 (121);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;16:35:1 - 16:36:5;64;62;16:35:1 - 16:36:5;64;61;16:35:1 - 16:36:5;64;65;16:35:1 - 16:36:5;64;65;16:35:1 - 16:36:5;64;65;16:35:1 - 16:36:5;64;66;16:35:1 - 16:36:6;65;65;16:35:1 - 16:36:5;64;66;16:36:5 - 16:37:7;62;5;16:36:5 - 16:37:7;62;5;16:36:5 - 16:37:6;61;7;16:36:5 - 16:37:6;61;7;16:36:5 - 16:37:6;61;10;16:36:5 - 16:37:7;62;10;
grayscaling;4:37:7 - 4:39:55 (121);168;1;4:37:6 - 4:39:47 (118);161;1;4:37:10 - 4:40:14 (114);184;1;4:37:10 - 4:40:13 (101);183;1;4:37:10 - 4:40:14 (90);184;1;4:37:11 - 4:40:15 (110);184;1;4:37:11 - 4:40:16 (28);185;2;4:37:11 - 4:40:15 (93);184;1;4:37:12 - 4:40:15 (99);183;2;4:37:12 - 4:40:16 (108);184;1;4:37:13 - 4:40:17 (33);184;1;4:37:13 - 4:40:17 (122);184;1;4:37:16 - 4:40:18 (119);182;1;4:37:17 - 4:40:18 (113);181;1;
errosion;4:39:56 - 4:39:57 (121);1;;4:39:48 - 4:39:49 (111);1;;4:40:15 - 4:40:16 (121);1;;4:40:14 - 4:40:15 (121);1;;4:40:15 - 4:40:16 (114);1;;4:40:16 - 4:40:17 (90);1;;4:40:18 - 4:40:18 (33);0;;4:40:16 - 4:40:17 (121);1;;4:40:17 - 4:40:17 (114);0;;4:40:17 - 4:40:18 (110);1;;4:40:18 - 4:40:19 (90);1;;4:40:18 - 4:40:18 (121);0;;4:40:19 - 4:40:19 (110);0;;4:40:19 - 4:40:19 (114);0;;


