sep=;
10sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
10sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:48:2 - 19:48:23;21;19;19:48:2 - 19:48:23;21;19;19:48:2 - 19:48:23;21;21;19:48:2 - 19:48:23;21;21;19:48:2 - 19:48:23;21;22;19:48:2 - 19:48:23;21;22;19:48:2 - 19:48:23;21;22;19:48:2 - 19:48:23;21;22;19:48:2 - 19:48:23;21;23;19:48:2 - 19:48:23;21;23;
grayscaling;7:48:42 - 7:49:11 (111);29;70;7:48:42 - 7:49:11 (120);29;70;7:48:44 - 7:49:33 (95);49;48;7:48:44 - 7:49:34 (122);50;47;7:48:45 - 7:49:35 (127);50;83;7:48:45 - 7:49:35 (84);50;65;7:48:45 - 7:49:36 (31);51;65;7:48:45 - 7:49:35 (102);50;59;7:48:46 - 7:49:38 (98);52;62;7:48:46 - 7:49:38 (104);52;63;
errosion;7:50:21 - 7:50:21 (31);0;;7:50:21 - 7:50:21 (102);0;;7:50:21 - 7:50:22 (123);1;;7:50:21 - 7:50:22 (127);1;;7:50:58 - 7:50:58 (127);0;;7:50:40 - 7:50:40 (127);0;;7:50:41 - 7:50:41 (85);0;;7:50:34 - 7:50:34 (123);0;;7:50:40 - 7:50:40 (85);0;;7:50:41 - 7:50:41 (127);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:48:23 - 19:48:49;26;13;19:48:23 - 19:48:40;17;30;19:48:23 - 19:48:42;19;21;19:48:23 - 19:48:42;19;22;19:48:23 - 19:48:43;20;27;19:48:23 - 19:48:43;20;27;19:48:23 - 19:48:43;20;27;19:48:23 - 19:48:41;18;29;19:48:23 - 19:48:40;17;30;19:48:23 - 19:48:44;21;26;
grayscaling;7:49:2 - 7:50:2 (125);60;44;7:49:10 - 7:50:13 (101);63;112;7:49:3 - 7:50:4 (110);61;42;7:49:4 - 7:50:5 (123);61;41;7:49:10 - 7:50:13 (103);63;45;7:49:10 - 7:50:13 (87);63;40;7:49:10 - 7:50:13 (85);63;112;7:49:10 - 7:50:12 (97);62;46;7:49:10 - 7:50:12 (100);62;113;7:49:10 - 7:50:13 (30);63;51;
errosion;7:50:46 - 7:50:46 (127);0;;7:52:5 - 7:52:5 (91);0;;7:50:46 - 7:50:46 (127);0;;7:50:46 - 7:50:46 (127);0;;7:50:58 - 7:50:58 (85);0;;7:50:53 - 7:50:53 (85);0;;7:52:5 - 7:52:5 (87);0;;7:50:58 - 7:50:58 (127);0;;7:52:5 - 7:52:5 (126);0;;7:51:4 - 7:51:5 (85);1;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:48:50 - 19:49:11;21;25;19:48:50 - 19:49:11;21;22;19:48:50 - 19:49:10;20;14;19:48:50 - 19:49:10;20;27;19:48:50 - 19:49:11;21;26;19:48:50 - 19:49:10;20;27;19:48:50 - 19:49:11;21;69;19:48:50 - 19:49:10;20;70;19:48:50 - 19:49:10;20;70;19:48:50 - 19:49:11;21;70;
grayscaling;7:49:36 - 7:50:21 (122);45;104;7:49:33 - 7:50:20 (95);47;45;7:49:24 - 7:50:17 (94);53;4;7:49:37 - 7:50:21 (31);44;105;7:49:37 - 7:50:21 (127);44;106;7:49:37 - 7:50:21 (102);44;105;7:50:20 - 7:50:36 (85);16;90;7:50:20 - 7:50:36 (101);16;91;7:50:20 - 7:50:36 (94);16;89;7:50:21 - 7:50:36 (122);15;90;
errosion;7:52:5 - 7:52:6 (125);1;;7:51:5 - 7:51:5 (85);0;;7:50:21 - 7:50:21 (127);0;;7:52:6 - 7:52:7 (91);1;;7:52:7 - 7:52:7 (91);0;;7:52:6 - 7:52:6 (87);0;;7:52:6 - 7:52:7 (87);1;;7:52:7 - 7:52:8 (91);1;;7:52:5 - 7:52:6 (110);1;;7:52:6 - 7:52:6 (87);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:49:11 - 19:50:21;70;49;19:49:11 - 19:50:22;71;102;19:49:11 - 19:50:21;70;50;19:49:11 - 19:50:20;69;52;19:49:11 - 19:50:20;69;104;19:49:11 - 19:50:21;70;102;19:49:11 - 19:50:20;69;102;19:49:11 - 19:50:20;69;105;19:49:11 - 19:50:22;71;103;19:49:11 - 19:50:21;70;103;
grayscaling;7:51:10 - 7:51:46 (85);36;20;7:52:4 - 7:55:10 (92);186;1;7:51:11 - 7:51:48 (127);37;20;7:51:12 - 7:51:47 (121);35;20;7:52:4 - 7:55:11 (113);187;1;7:52:3 - 7:55:1 (104);178;1;7:52:2 - 7:54:50 (127);168;0;7:52:5 - 7:55:14 (86);189;1;7:52:5 - 7:55:10 (114);185;0;7:52:4 - 7:55:9 (96);185;1;
errosion;7:52:6 - 7:52:6 (125);0;;7:55:11 - 7:55:12 (92);1;;7:52:8 - 7:52:8 (87);0;;7:52:7 - 7:52:7 (125);0;;7:55:12 - 7:55:13 (96);1;;7:55:2 - 7:55:3 (104);1;;7:54:50 - 7:54:52 (127);2;;7:55:15 - 7:55:15 (104);0;;7:55:10 - 7:55:11 (114);1;;7:55:10 - 7:55:11 (96);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;19:50:22 - 19:52:15;113;6;19:50:22 - 19:52:3;101;17;19:50:22 - 19:52:16;114;2;19:50:22 - 19:52:15;113;9;19:50:22 - 19:52:15;113;2;19:50:22 - 19:52:16;114;14;19:50:22 - 19:52:3;101;27;19:50:22 - 19:52:3;101;22;19:50:22 - 19:52:15;113;14;19:50:22 - 19:52:17;115;13;
grayscaling;7:52:21 - 7:56:48 (97);267;1;7:52:20 - 7:56:47 (124);267;1;7:52:18 - 7:56:43 (125);265;1;7:52:24 - 7:56:48 (99);264;1;7:52:17 - 7:56:42 (126);265;1;7:52:30 - 7:56:51 (111);261;1;7:52:30 - 7:56:50 (128);260;1;7:52:25 - 7:56:45 (107);260;1;7:52:29 - 7:56:50 (118);261;1;7:52:30 - 7:56:50 (98);260;0;
errosion;7:56:49 - 7:56:50 (125);1;;7:56:48 - 7:56:49 (125);1;;7:56:44 - 7:56:45 (125);1;;7:56:49 - 7:56:49 (104);0;;7:56:43 - 7:56:44 (126);1;;7:56:52 - 7:56:52 (126);0;;7:56:51 - 7:56:52 (125);1;;7:56:46 - 7:56:47 (104);1;;7:56:51 - 7:56:51 (118);0;;7:56:50 - 7:56:50 (125);0;;


