sep=;
16sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:22:46 - 21:23:7;21;22;21:22:46 - 21:23:7;21;33;21:22:46 - 21:23:7;21;43;21:22:46 - 21:23:7;21;43;21:22:46 - 21:23:7;21;49;21:22:46 - 21:23:7;21;49;21:22:46 - 21:23:7;21;62;21:22:46 - 21:23:7;21;60;21:22:46 - 21:23:7;21;60;21:22:46 - 21:23:7;21;61;21:22:46 - 21:23:7;21;94;21:22:46 - 21:23:7;21;67;21:22:46 - 21:23:7;21;99;21:22:46 - 21:23:7;21;94;21:22:46 - 21:23:7;21;104;21:22:46 - 21:23:7;21;100;
grayscaling;9:23:29 - 9:23:33 (91);4;215;9:23:40 - 9:23:45 (84);5;203;9:23:50 - 9:23:54 (84);4;184;9:23:50 - 9:23:55 (100);5;193;9:23:56 - 9:24:1 (84);5;177;9:23:56 - 9:24:1 (108);5;188;9:24:9 - 9:24:18 (96);9;156;9:24:7 - 9:24:15 (87);8;174;9:24:7 - 9:24:15 (84);8;163;9:24:8 - 9:24:17 (106);9;161;9:24:41 - 9:24:46 (96);5;143;9:24:14 - 9:24:20 (103);6;158;9:24:46 - 9:24:51 (36);5;123;9:24:41 - 9:24:46 (36);5;132;9:24:51 - 9:25:6 (98);15;123;9:24:47 - 9:24:53 (96);6;126;
errosion;9:27:8 - 9:27:9 (93);1;;9:27:8 - 9:27:9 (116);1;;9:26:58 - 9:26:58 (85);0;;9:27:8 - 9:27:9 (125);1;;9:26:58 - 9:26:58 (92);0;;9:27:9 - 9:27:9 (112);0;;9:26:54 - 9:26:54 (85);0;;9:27:9 - 9:27:9 (121);0;;9:26:58 - 9:26:59 (92);1;;9:26:58 - 9:26:59 (85);1;;9:27:9 - 9:27:9 (118);0;;9:26:58 - 9:26:59 (123);1;;9:26:54 - 9:26:54 (85);0;;9:26:58 - 9:26:59 (104);1;;9:27:9 - 9:27:9 (97);0;;9:26:59 - 9:26:59 (85);0;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;21:23:7 - 21:23:25;18;86;21:23:7 - 21:23:25;18;88;21:23:7 - 21:23:28;21;86;21:23:7 - 21:23:28;21;85;21:23:7 - 21:23:28;21;89;21:23:7 - 21:23:28;21;89;21:23:7 - 21:23:28;21;89;21:23:7 - 21:23:29;22;89;21:23:7 - 21:23:28;21;90;21:23:7 - 21:23:29;22;89;21:23:7 - 21:23:29;22;93;21:23:7 - 21:23:25;18;93;21:23:7 - 21:23:28;21;94;21:23:7 - 21:23:25;18;113;21:23:7 - 21:23:28;21;124;21:23:7 - 21:23:28;21;124;
grayscaling;9:24:51 - 9:25:7 (122);16;107;9:24:53 - 9:25:16 (113);23;103;9:24:54 - 9:25:18 (96);24;98;9:24:53 - 9:25:15 (92);22;114;9:24:57 - 9:25:25 (115);28;94;9:24:57 - 9:25:25 (117);28;104;9:24:57 - 9:25:25 (105);28;91;9:24:58 - 9:25:25 (95);27;94;9:24:58 - 9:25:25 (36);27;104;9:24:58 - 9:25:25 (118);27;91;9:25:2 - 9:25:27 (107);25;102;9:24:58 - 9:25:25 (127);27;94;9:25:2 - 9:25:27 (26);25;90;9:25:18 - 9:25:29 (122);11;100;9:25:32 - 9:25:39 (98);7;80;9:25:32 - 9:25:38 (127);6;78;
errosion;9:26:54 - 9:26:55 (85);1;;9:26:59 - 9:26:59 (104);0;;9:26:56 - 9:26:56 (85);0;;9:27:9 - 9:27:9 (129);0;;9:26:59 - 9:26:59 (92);0;;9:27:9 - 9:27:10 (93);1;;9:26:56 - 9:26:56 (85);0;;9:26:59 - 9:26:59 (92);0;;9:27:9 - 9:27:9 (94);0;;9:26:56 - 9:26:56 (85);0;;9:27:9 - 9:27:9 (99);0;;9:26:59 - 9:26:59 (85);0;;9:26:57 - 9:26:57 (85);0;;9:27:9 - 9:27:10 (116);1;;9:26:59 - 9:26:59 (104);0;;9:26:56 - 9:26:57 (85);1;;
