sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
grayscaling;8:57:32 - 8:57:40 (101);8;89;8:57:30 - 8:57:39 (109);9;92;8:57:41 - 8:57:46 (101);5;80;8:57:42 - 8:57:48 (86);6;80;8:57:58 - 8:58:6 (32);8;65;8:57:54 - 8:58:0 (87);6;69;8:57:47 - 8:57:53 (30);6;74;8:57:48 - 8:57:54 (101);6;74;8:57:58 - 8:58:6 (128);8;61;8:57:59 - 8:58:7 (101);8;62;8:58:11 - 8:58:16 (101);5;54;8:58:47 - 8:59:50 (121);63;0;8:58:44 - 8:59:16 (87);32;0;8:58:19 - 8:58:25 (87);6;44;
errosion;8:59:9 - 8:59:10 (86);1;;8:59:11 - 8:59:11 (86);0;;8:59:6 - 8:59:7 (112);1;;8:59:8 - 8:59:9 (112);1;;8:59:11 - 8:59:11 (125);0;;8:59:9 - 8:59:10 (125);1;;8:59:7 - 8:59:7 (86);0;;8:59:8 - 8:59:9 (128);1;;8:59:7 - 8:59:8 (125);1;;8:59:9 - 8:59:10 (112);1;;8:59:10 - 8:59:10 (86);0;;8:59:50 - 8:59:51 (32);1;;8:59:16 - 8:59:17 (128);1;;8:59:9 - 8:59:10 (98);1;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:55:45 - 20:56:55;70;111;20:55:45 - 20:56:55;70;109;20:55:45 - 20:56:47;62;120;20:55:45 - 20:56:55;70;112;20:55:45 - 20:56:47;62;120;20:55:45 - 20:56:47;62;121;20:55:45 - 20:56:55;70;113;20:55:45 - 20:56:47;62;121;20:55:45 - 20:56:55;70;113;20:55:45 - 20:56:47;62;122;20:55:45 - 20:56:47;62;125;20:55:45 - 20:56:55;70;117;20:55:45 - 20:56:56;71;116;20:55:45 - 20:56:56;71;117;
grayscaling;8:58:46 - 9:2:40 (103);234;1;8:58:44 - 9:2:14 (101);210;1;8:58:47 - 9:2:44 (102);237;0;8:58:47 - 9:2:45 (92);238;0;8:58:47 - 9:2:44 (93);237;1;8:58:48 - 9:2:49 (26);241;1;8:58:48 - 9:2:51 (85);243;0;8:58:48 - 9:2:46 (120);238;1;8:58:48 - 9:2:49 (114);241;0;8:58:49 - 9:2:55 (99);246;0;8:58:52 - 9:2:54 (91);242;1;8:58:52 - 9:2:57 (109);245;1;8:58:52 - 9:2:54 (107);242;1;8:58:53 - 9:2:57 (36);244;1;
errosion;9:2:41 - 9:2:42 (112);1;;9:2:15 - 9:2:17 (87);2;;9:2:44 - 9:2:46 (32);2;;9:2:45 - 9:2:46 (102);1;;9:2:45 - 9:2:46 (101);1;;9:2:50 - 9:2:51 (26);1;;9:2:51 - 9:2:52 (93);1;;9:2:47 - 9:2:48 (86);1;;9:2:49 - 9:2:50 (125);1;;9:2:55 - 9:2:56 (125);1;;9:2:55 - 9:2:56 (91);1;;9:2:58 - 9:2:58 (102);0;;9:2:55 - 9:2:56 (86);1;;9:2:58 - 9:2:59 (109);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;20:56:56 - 20:58:46;110;7;20:56:56 - 20:58:48;112;5;20:56:56 - 20:58:44;108;10;20:56:56 - 20:58:44;108;9;20:56:56 - 20:58:44;108;10;20:56:56 - 20:58:48;112;8;20:56:56 - 20:58:48;112;12;20:56:56 - 20:58:44;108;16;20:56:56 - 20:58:45;109;15;20:56:56 - 20:58:49;113;11;20:56:56 - 20:58:48;112;12;20:56:56 - 20:58:47;111;13;20:56:56 - 20:58:49;113;11;20:56:56 - 20:58:48;112;12;
grayscaling;8:58:53 - 9:4:9 (90);316;1;8:58:53 - 9:4:11 (100);318;0;8:58:54 - 9:4:11 (104);317;1;8:58:53 - 9:4:12 (30);319;1;8:58:54 - 9:4:11 (116);317;1;8:58:56 - 9:4:11 (123);315;1;8:59:0 - 9:4:15 (126);315;1;8:59:0 - 9:4:14 (84);314;1;8:59:0 - 9:4:14 (94);314;3;8:59:0 - 9:4:14 (97);314;1;8:59:0 - 9:4:14 (129);314;1;8:59:0 - 9:4:13 (111);313;1;8:59:0 - 9:4:14 (31);314;2;8:59:0 - 9:4:15 (118);315;1;
errosion;9:4:10 - 9:4:11 (125);1;;9:4:11 - 9:4:12 (93);1;;9:4:12 - 9:4:13 (99);1;;9:4:13 - 9:4:14 (100);1;;9:4:12 - 9:4:13 (125);1;;9:4:12 - 9:4:13 (91);1;;9:4:16 - 9:4:16 (84);0;;9:4:15 - 9:4:15 (123);0;;9:4:17 - 9:4:17 (31);0;;9:4:15 - 9:4:15 (100);0;;9:4:15 - 9:4:16 (31);1;;9:4:14 - 9:4:14 (91);0;;9:4:16 - 9:4:16 (126);0;;9:4:16 - 9:4:17 (91);1;;


