sep=;
12sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:26:10 - 20:27:18;68;38;20:26:10 - 20:27:17;67;63;20:26:10 - 20:27:20;70;66;20:26:10 - 20:27:16;66;72;20:26:10 - 20:27:17;67;81;20:26:10 - 20:27:20;70;69;20:26:10 - 20:27:21;71;77;20:26:10 - 20:27:19;69;73;20:26:10 - 20:27:21;71;78;20:26:10 - 20:27:17;67;82;20:26:10 - 20:27:18;68;96;20:26:10 - 20:27:18;68;103;
grayscaling;8:27:56 - 8:28:18 (92);22;55;8:28:20 - 8:29:13 (102);53;0;8:28:26 - 8:30:15 (92);109;1;8:28:28 - 8:30:39 (116);131;1;8:28:38 - 8:31:20 (26);162;0;8:28:29 - 8:30:51 (36);142;0;8:28:38 - 8:31:24 (109);166;0;8:28:32 - 8:31:10 (110);158;0;8:28:39 - 8:31:25 (87);166;1;8:28:39 - 8:31:28 (118);169;1;8:28:54 - 8:31:49 (128);175;1;8:29:1 - 8:32:0 (120);179;1;
errosion;8:29:13 - 8:29:13 (102);0;;8:29:13 - 8:29:14 (126);1;;8:30:16 - 8:30:17 (92);1;;8:30:40 - 8:30:41 (92);1;;8:31:20 - 8:31:21 (110);1;;8:30:51 - 8:30:52 (36);1;;8:31:24 - 8:31:26 (109);2;;8:31:10 - 8:31:11 (110);1;;8:31:26 - 8:31:27 (87);1;;8:31:29 - 8:31:30 (127);1;;8:31:50 - 8:31:51 (104);1;;8:32:1 - 8:32:2 (99);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;
preparation;20:27:21 - 20:29:15;114;7;20:27:21 - 20:28:59;98;20;20:27:21 - 20:29:3;102;12;20:27:21 - 20:29:9;108;7;20:27:21 - 20:29:15;114;3;20:27:21 - 20:29:13;112;10;20:27:21 - 20:29:12;111;19;20:27:21 - 20:29:11;110;15;20:27:21 - 20:29:9;108;21;20:27:21 - 20:29:9;108;18;20:27:21 - 20:29:14;113;20;20:27:21 - 20:29:13;112;21;
grayscaling;8:29:22 - 8:33:35 (93);253;1;8:29:19 - 8:33:31 (114);252;1;8:29:15 - 8:33:28 (112);253;1;8:29:16 - 8:33:28 (126);252;2;8:29:18 - 8:33:32 (113);254;1;8:29:23 - 8:33:34 (105);251;1;8:29:31 - 8:33:37 (85);246;1;8:29:26 - 8:33:34 (125);248;1;8:29:30 - 8:33:36 (100);246;1;8:29:27 - 8:33:36 (103);249;1;8:29:34 - 8:33:37 (121);243;1;8:29:34 - 8:33:38 (97);244;1;
errosion;8:33:36 - 8:33:36 (107);0;;8:33:32 - 8:33:33 (84);1;;8:33:29 - 8:33:30 (95);1;;8:33:30 - 8:33:31 (111);1;;8:33:33 - 8:33:34 (95);1;;8:33:35 - 8:33:36 (110);1;;8:33:38 - 8:33:38 (129);0;;8:33:35 - 8:33:35 (84);0;;8:33:37 - 8:33:37 (95);0;;8:33:37 - 8:33:37 (114);0;;8:33:38 - 8:33:38 (107);0;;8:33:39 - 8:33:39 (97);0;;


