sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
errosion;7:19:44 - 7:19:45 (99);1;;7:19:35 - 7:19:35 (100);0;;7:19:45 - 7:19:45 (103);0;;7:19:35 - 7:19:35 (108);0;;7:19:45 - 7:19:46 (93);1;;7:19:35 - 7:19:36 (107);1;;7:19:44 - 7:19:45 (126);1;;7:19:35 - 7:19:35 (111);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:16:30 - 19:17:40;70;77;19:16:30 - 19:17:40;70;102;19:16:30 - 19:17:40;70;102;19:16:30 - 19:17:40;70;112;19:16:30 - 19:17:40;70;103;19:16:30 - 19:17:40;70;114;19:16:30 - 19:17:40;70;114;19:16:30 - 19:17:40;70;113;
grayscaling;7:18:57 - 7:21:21 (114);144;1;7:19:22 - 7:22:46 (95);204;1;7:19:22 - 7:22:46 (127);204;1;7:19:32 - 7:23:16 (84);224;1;7:19:23 - 7:22:54 (102);211;1;7:19:34 - 7:23:25 (105);231;1;7:19:34 - 7:23:20 (122);226;1;7:19:33 - 7:23:19 (124);226;0;
errosion;7:21:22 - 7:21:24 (114);2;;7:22:47 - 7:22:49 (127);2;;7:22:47 - 7:22:48 (95);1;;7:23:17 - 7:23:18 (84);1;;7:22:55 - 7:22:56 (102);1;;7:23:26 - 7:23:27 (124);1;;7:23:21 - 7:23:22 (122);1;;7:23:19 - 7:23:20 (84);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;19:17:40 - 19:19:32;112;5;19:17:40 - 19:19:33;113;3;19:17:40 - 19:19:32;112;5;19:17:40 - 19:19:33;113;5;19:17:40 - 19:19:32;112;7;19:17:40 - 19:19:33;113;6;19:17:40 - 19:19:32;112;8;19:17:40 - 19:19:33;113;8;
grayscaling;7:19:37 - 7:24:41 (100);304;3;7:19:36 - 7:24:37 (108);301;1;7:19:37 - 7:24:39 (123);302;1;7:19:38 - 7:24:41 (107);303;1;7:19:39 - 7:24:41 (111);302;3;7:19:39 - 7:24:40 (85);301;1;7:19:40 - 7:24:40 (120);300;3;7:19:41 - 7:24:41 (101);300;2;
errosion;7:24:44 - 7:24:45 (107);1;;7:24:38 - 7:24:40 (105);2;;7:24:40 - 7:24:41 (123);1;;7:24:42 - 7:24:43 (101);1;;7:24:44 - 7:24:44 (101);0;;7:24:41 - 7:24:41 (120);0;;7:24:43 - 7:24:43 (120);0;;7:24:43 - 7:24:44 (123);1;;


