sep=;
16sub-images - time duration for each phase and the corresponding threads - Local


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
preparation;14:46:46 - 14:47:23;37;274;14:46:48 - 14:47:23;35;277;14:46:50 - 14:47:26;36;275;14:46:51 - 14:47:28;37;281;14:47:23 - 14:47:59;36;260;14:47:23 - 14:47:59;36;263;14:47:26 - 14:48:2;36;262;14:47:28 - 14:48:5;37;267;14:47:59 - 14:48:35;36;247;14:47:59 - 14:48:35;36;250;14:48:2 - 14:48:38;36;249;14:48:5 - 14:48:41;36;253;14:48:35 - 14:49:10;35;235;14:48:35 - 14:49:10;35;238;14:48:38 - 14:49:13;35;236;14:48:41 - 14:49:17;36;240;
grayscaling;14:51:57 - 14:52:19 (21);22;67;14:52:0 - 14:52:22 (22);22;68;14:52:1 - 14:52:24 (20);23;67;14:52:9 - 14:52:32 (23);23;68;14:52:19 - 14:52:42 (21);23;111;14:52:22 - 14:52:45 (22);23;113;14:52:24 - 14:52:47 (20);23;112;14:52:32 - 14:52:54 (23);22;117;14:52:42 - 14:53:5 (21);23;154;14:52:45 - 14:53:8 (22);23;158;14:52:47 - 14:53:9 (20);22;159;14:52:54 - 14:53:17 (23);23;164;14:53:5 - 14:53:26 (21);21;200;14:53:8 - 14:53:30 (22);22;203;14:53:9 - 14:53:31 (20);22;206;14:53:17 - 14:53:40 (23);23;210;
errosion;14:53:26 - 14:54:33 (21);67;;14:53:30 - 14:54:39 (22);69;;14:53:31 - 14:54:38 (20);67;;14:53:40 - 14:54:51 (23);71;;14:54:33 - 14:55:39 (21);66;;14:54:38 - 14:55:46 (20);68;;14:54:39 - 14:55:48 (22);69;;14:54:51 - 14:56:1 (23);70;;14:55:39 - 14:56:46 (21);67;;14:55:46 - 14:56:53 (20);67;;14:55:48 - 14:56:57 (22);69;;14:56:1 - 14:57:10 (23);69;;14:56:46 - 14:57:53 (21);67;;14:56:53 - 14:58:0 (20);67;;14:56:57 - 14:58:5 (22);68;;14:57:10 - 14:58:13 (23);63;;


16sub-images - time duration for each phase and the corresponding threads - RemoteOneNode
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;sub-image 14;duration;waiting for next stage;sub-image 15;duration;waiting for next stage;
