sep=;
8sub-images - time duration for each phase and the corresponding threads - Local
image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:43:17 - 12:43:32;15;14;12:43:17 - 12:43:32;15;14;12:43:17 - 12:43:31;14;15;12:43:17 - 12:43:31;14;16;12:43:31 - 12:43:46;15;1;12:43:31 - 12:43:46;15;1;12:43:32 - 12:43:46;14;1;12:43:32 - 12:43:47;15;0;
grayscaling;0:43:46 - 0:44:45 (92);59;0;0:43:46 - 0:44:45 (115);59;0;0:43:46 - 0:44:45 (102);59;0;0:43:47 - 0:44:46 (95);59;0;0:43:47 - 0:44:47 (122);60;0;0:43:47 - 0:44:47 (113);60;0;0:43:47 - 0:44:46 (121);59;0;0:43:47 - 0:44:46 (118);59;0;
errosion;0:44:45 - 0:44:45 (103);0;;0:44:45 - 0:44:46 (31);1;;0:44:45 - 0:44:46 (102);1;;0:44:46 - 0:44:47 (102);1;;0:44:47 - 0:44:48 (122);1;;0:44:47 - 0:44:47 (113);0;;0:44:46 - 0:44:46 (115);0;;0:44:46 - 0:44:46 (84);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:43:47 - 12:44:3;16;16;12:43:47 - 12:44:3;16;16;12:43:47 - 12:44:4;17;16;12:43:47 - 12:44:3;16;20;12:44:3 - 12:44:19;16;1;12:44:3 - 12:44:18;15;6;12:44:3 - 12:44:19;16;9;12:44:4 - 12:44:20;16;7;
grayscaling;0:44:19 - 0:45:11 (93);52;0;0:44:19 - 0:45:11 (97);52;0;0:44:20 - 0:45:11 (120);51;0;0:44:23 - 0:45:12 (117);49;0;0:44:20 - 0:45:11 (123);51;0;0:44:24 - 0:45:12 (94);48;1;0:44:28 - 0:45:13 (119);45;0;0:44:27 - 0:45:13 (29);46;0;
errosion;0:45:11 - 0:45:11 (93);0;;0:45:11 - 0:45:12 (120);1;;0:45:11 - 0:45:12 (97);1;;0:45:12 - 0:45:12 (117);0;;0:45:11 - 0:45:11 (97);0;;0:45:13 - 0:45:13 (120);0;;0:45:13 - 0:45:13 (119);0;;0:45:13 - 0:45:13 (29);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;
preparation;12:44:20 - 12:45:12;52;65;12:44:20 - 12:45:16;56;61;12:44:20 - 12:45:20;60;56;12:44:20 - 12:45:17;57;60;12:45:12 - 12:46:4;52;14;12:45:16 - 12:46:11;55;8;12:45:17 - 12:46:14;57;4;12:45:20 - 12:46:17;57;2;
