sep=;
14sub-images - time duration for each phase and the corresponding threads - Local
preparation;14:28:34 - 14:28:42;8;22;14:28:34 - 14:28:42;8;23;14:28:34 - 14:28:42;8;27;14:28:34 - 14:28:42;8;27;14:28:42 - 14:28:49;7;21;14:28:42 - 14:28:50;8;20;14:28:42 - 14:28:50;8;20;14:28:42 - 14:28:50;8;20;14:28:49 - 14:28:56;7;14;14:28:50 - 14:28:57;7;13;14:28:50 - 14:28:57;7;14;14:28:50 - 14:28:58;8;13;14:28:56 - 14:29:3;7;8;14:28:57 - 14:29:4;7;9;
grayscaling;2:29:4 - 2:29:10 (93);6;7;2:29:5 - 2:29:12 (83);7;6;2:29:9 - 2:29:44 (114);35;1;2:29:9 - 2:29:44 (122);35;0;2:29:10 - 2:29:46 (118);36;0;2:29:10 - 2:29:48 (84);38;0;2:29:10 - 2:29:51 (25);41;0;2:29:10 - 2:29:47 (93);37;0;2:29:10 - 2:29:49 (106);39;0;2:29:10 - 2:29:50 (115);40;0;2:29:11 - 2:29:50 (94);39;0;2:29:11 - 2:29:50 (102);39;1;2:29:11 - 2:29:50 (119);39;1;2:29:13 - 2:29:55 (83);42;0;
errosion;2:29:17 - 2:29:17 (35);0;;2:29:18 - 2:29:18 (35);0;;2:29:45 - 2:29:45 (125);0;;2:29:44 - 2:29:44 (98);0;;2:29:46 - 2:29:47 (98);1;;2:29:48 - 2:29:48 (109);0;;2:29:51 - 2:29:51 (119);0;;2:29:47 - 2:29:48 (93);1;;2:29:49 - 2:29:49 (93);0;;2:29:50 - 2:29:50 (118);0;;2:29:50 - 2:29:50 (84);0;;2:29:51 - 2:29:51 (106);0;;2:29:51 - 2:29:51 (103);0;;2:29:55 - 2:29:56 (25);1;;


image2;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:29:4 - 14:29:12;8;22;14:29:4 - 14:29:12;8;23;14:29:4 - 14:29:12;8;23;14:29:4 - 14:29:12;8;23;14:29:12 - 14:29:19;7;16;14:29:12 - 14:29:19;7;16;14:29:12 - 14:29:21;9;15;14:29:12 - 14:29:20;8;16;14:29:19 - 14:29:27;8;9;14:29:19 - 14:29:27;8;9;14:29:20 - 14:29:28;8;8;14:29:21 - 14:29:29;8;11;14:29:27 - 14:29:34;7;7;14:29:27 - 14:29:35;8;6;
grayscaling;2:29:34 - 2:30:29 (86);55;1;2:29:35 - 2:30:29 (107);54;0;2:29:35 - 2:30:32 (87);57;0;2:29:35 - 2:30:29 (112);54;0;2:29:35 - 2:30:30 (128);55;0;2:29:35 - 2:30:31 (124);56;1;2:29:36 - 2:30:33 (116);57;0;2:29:36 - 2:30:30 (90);54;0;2:29:36 - 2:30:31 (100);55;0;2:29:36 - 2:30:31 (30);55;0;2:29:36 - 2:30:30 (92);54;0;2:29:40 - 2:30:34 (91);54;1;2:29:41 - 2:30:34 (126);53;0;2:29:41 - 2:30:37 (105);56;0;
errosion;2:30:30 - 2:30:30 (86);0;;2:30:29 - 2:30:30 (112);1;;2:30:32 - 2:30:32 (112);0;;2:30:29 - 2:30:30 (107);1;;2:30:30 - 2:30:31 (86);1;;2:30:32 - 2:30:32 (118);0;;2:30:33 - 2:30:33 (92);0;;2:30:30 - 2:30:30 (107);0;;2:30:31 - 2:30:31 (86);0;;2:30:31 - 2:30:31 (128);0;;2:30:30 - 2:30:30 (112);0;;2:30:35 - 2:30:35 (87);0;;2:30:34 - 2:30:34 (107);0;;2:30:37 - 2:30:37 (30);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;sub-image 10;duration;waiting for next stage;sub-image 11;duration;waiting for next stage;sub-image 12;duration;waiting for next stage;sub-image 13;duration;waiting for next stage;
preparation;14:29:35 - 14:29:43;8;25;14:29:35 - 14:29:43;8;25;14:29:35 - 14:29:43;8;25;14:29:35 - 14:29:43;8;25;14:29:43 - 14:29:51;8;18;14:29:43 - 14:29:52;9;17;14:29:43 - 14:29:53;10;17;14:29:43 - 14:29:53;10;16;14:29:51 - 14:30:0;9;13;14:29:52 - 14:30:1;9;14;14:29:53 - 14:30:2;9;13;14:29:53 - 14:30:2;9;12;14:30:0 - 14:30:9;9;6;14:30:1 - 14:30:9;8;6;
