sep=;
10sub-images - time duration for each phase and the corresponding threads - Local
image1;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;13:15:39 - 13:15:51;12;22;13:15:39 - 13:15:50;11;22;13:15:39 - 13:15:50;11;23;13:15:39 - 13:15:51;12;22;13:15:50 - 13:16:2;12;11;13:15:50 - 13:16:2;12;11;13:15:51 - 13:16:2;11;11;13:15:51 - 13:16:3;12;11;13:16:2 - 13:16:12;10;2;13:16:2 - 13:16:12;10;2;
grayscaling;1:16:13 - 1:17:5 (128);52;0;1:16:12 - 1:17:4 (113);52;1;1:16:13 - 1:17:6 (29);53;0;1:16:13 - 1:17:5 (122);52;1;1:16:13 - 1:17:7 (99);54;0;1:16:13 - 1:17:5 (117);52;0;1:16:13 - 1:17:5 (124);52;0;1:16:14 - 1:17:6 (94);52;1;1:16:14 - 1:17:6 (102);52;1;1:16:14 - 1:17:7 (101);53;0;
errosion;1:17:5 - 1:17:6 (86);1;;1:17:5 - 1:17:5 (92);0;;1:17:6 - 1:17:7 (31);1;;1:17:6 - 1:17:6 (124);0;;1:17:7 - 1:17:8 (107);1;;1:17:5 - 1:17:6 (107);1;;1:17:5 - 1:17:6 (90);1;;1:17:7 - 1:17:7 (83);0;;1:17:7 - 1:17:7 (124);0;;1:17:7 - 1:17:7 (109);0;;


image3;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;13:16:12 - 13:16:25;13;22;13:16:12 - 13:16:25;13;22;13:16:12 - 13:16:24;12;23;13:16:12 - 13:16:25;13;23;13:16:24 - 13:16:37;13;10;13:16:25 - 13:16:37;12;11;13:16:25 - 13:16:38;13;10;13:16:25 - 13:16:38;13;10;13:16:37 - 13:16:47;10;1;13:16:37 - 13:16:48;11;0;
grayscaling;1:16:47 - 1:17:34 (116);47;0;1:16:47 - 1:17:34 (100);47;1;1:16:47 - 1:17:34 (106);47;1;1:16:48 - 1:17:35 (119);47;0;1:16:47 - 1:17:35 (108);48;0;1:16:48 - 1:17:34 (85);46;1;1:16:48 - 1:17:35 (125);47;0;1:16:48 - 1:17:35 (84);47;0;1:16:48 - 1:17:34 (114);46;1;1:16:48 - 1:17:35 (87);47;1;
errosion;1:17:34 - 1:17:34 (116);0;;1:17:35 - 1:17:35 (106);0;;1:17:35 - 1:17:35 (116);0;;1:17:35 - 1:17:35 (100);0;;1:17:35 - 1:17:35 (106);0;;1:17:35 - 1:17:35 (119);0;;1:17:35 - 1:17:35 (124);0;;1:17:35 - 1:17:35 (84);0;;1:17:35 - 1:17:35 (116);0;;1:17:36 - 1:17:36 (125);0;;


image4;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;sub-image 6;duration;waiting for next stage;sub-image 7;duration;waiting for next stage;sub-image 8;duration;waiting for next stage;sub-image 9;duration;waiting for next stage;
preparation;13:16:48 - 13:17:35;47;82;13:16:48 - 13:17:34;46;84;13:16:48 - 13:17:30;42;87;13:16:48 - 13:17:36;48;82;13:17:30 - 13:18:11;41;53;13:17:34 - 13:18:20;46;43;13:17:35 - 13:18:21;46;46;13:17:36 - 13:18:21;45;47;13:18:11 - 13:18:49;38;22;13:18:20 - 13:18:58;38;14;
