sep=;
6sub-images - time duration for each phase and the corresponding threads - Local
preparation;12:14:43 - 12:15:58;75;56;12:14:43 - 12:15:42;59;71;12:14:43 - 12:16:2;79;53;12:14:43 - 12:16:1;78;53;12:15:42 - 12:16:40;58;20;12:15:58 - 12:16:54;56;5;
grayscaling;0:16:54 - 0:18:54 (101);120;1;0:16:53 - 0:18:52 (125);119;1;0:16:55 - 0:18:56 (120);121;1;0:16:54 - 0:18:55 (103);121;1;0:17:0 - 0:18:58 (112);118;1;0:16:59 - 0:18:58 (94);119;1;
errosion;0:18:55 - 0:18:55 (87);0;;0:18:53 - 0:18:54 (109);1;;0:18:57 - 0:18:57 (87);0;;0:18:56 - 0:18:57 (87);1;;0:18:59 - 0:18:59 (101);0;;0:18:59 - 0:19:0 (94);1;;


image5;sub-image 0;duration;waiting for next stage;sub-image 1;duration;waiting for next stage;sub-image 2;duration;waiting for next stage;sub-image 3;duration;waiting for next stage;sub-image 4;duration;waiting for next stage;sub-image 5;duration;waiting for next stage;
preparation;12:16:54 - 12:18:58;124;100;12:16:54 - 12:18:52;118;105;12:16:54 - 12:18:59;125;98;12:16:54 - 12:19:0;126;96;12:18:52 - 12:20:26;94;12;12:18:58 - 12:20:35;97;4;
grayscaling;0:20:38 - 0:23:55 (114);197;2;0:20:37 - 0:23:53 (100);196;1;0:20:37 - 0:23:54 (96);197;1;0:20:36 - 0:23:51 (29);195;1;0:20:38 - 0:23:55 (98);197;2;0:20:39 - 0:23:56 (90);197;2;
errosion;0:23:57 - 0:23:58 (87);1;;0:23:54 - 0:23:55 (85);1;;0:23:55 - 0:23:56 (103);1;;0:23:52 - 0:23:53 (29);1;;0:23:57 - 0:23:57 (114);0;;0:23:58 - 0:23:58 (120);0;;


